epoch,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt
1,0.8845413726747915,0.9504862953138815,0.8847583643122676,0.6904315196998124,0.8709677419354839,0.41379310344827586,0.7040816326530612,0.44
2,0.8781270044900578,0.9478337754199824,0.8773234200743495,0.6829268292682927,0.8978494623655914,0.4827586206896552,0.7551020408163265,0.52
3,0.8774855676715844,0.9442970822281167,0.8717472118959108,0.6735459662288931,0.9005376344086021,0.6206896551724138,0.826530612244898,0.56
4,0.868505452212957,0.9407603890362511,0.8587360594795539,0.6585365853658537,0.8924731182795699,0.6206896551724138,0.8571428571428571,0.72
5,0.8646568313021168,0.9407603890362511,0.8401486988847584,0.6454033771106942,0.8844086021505376,0.7241379310344828,0.8775510204081632,0.72
6,0.8620910840282232,0.9381078691423519,0.8401486988847584,0.6360225140712945,0.8790322580645161,0.7586206896551724,0.8775510204081632,0.72
7,0.8608082103912764,0.9363395225464191,0.8382899628252788,0.6360225140712945,0.8790322580645161,0.7931034482758621,0.8775510204081632,0.72
8,0.8665811417575369,0.9381078691423519,0.8382899628252788,0.6285178236397748,0.8817204301075269,0.7931034482758621,0.8775510204081632,0.72
9,0.8678640153944837,0.9398762157382847,0.8364312267657993,0.624765478424015,0.8817204301075269,0.7931034482758621,0.8775510204081632,0.72
10,0.8672225785760103,0.9372236958443855,0.8420074349442379,0.6285178236397748,0.8736559139784946,0.7931034482758621,0.8979591836734694,0.72
11,0.8691468890314304,0.9398762157382847,0.8420074349442379,0.6191369606003753,0.8709677419354839,0.7931034482758621,0.8877551020408163,0.72
12,0.8697883258499037,0.9389920424403183,0.8382899628252788,0.6228893058161351,0.8736559139784946,0.7931034482758621,0.8877551020408163,0.72
13,0.8659397049390635,0.9398762157382847,0.8420074349442379,0.6322701688555347,0.8736559139784946,0.7931034482758621,0.8877551020408163,0.72
14,0.8678640153944837,0.9398762157382847,0.8401486988847584,0.6303939962476548,0.8736559139784946,0.7586206896551724,0.8877551020408163,0.72
15,0.8704297626683771,0.9398762157382847,0.8345724907063197,0.626641651031895,0.8709677419354839,0.7586206896551724,0.8877551020408163,0.72
16,0.8717126363053239,0.9416445623342176,0.8401486988847584,0.626641651031895,0.8682795698924731,0.7586206896551724,0.8877551020408163,0.76
17,0.8723540731237973,0.9407603890362511,0.8382899628252788,0.624765478424015,0.8682795698924731,0.7586206896551724,0.8979591836734694,0.76
18,0.8697883258499037,0.9434129089301503,0.8401486988847584,0.626641651031895,0.8763440860215054,0.7586206896551724,0.8979591836734694,0.76
19,0.8723540731237973,0.9407603890362511,0.8420074349442379,0.626641651031895,0.8736559139784946,0.7586206896551724,0.8979591836734694,0.72
20,0.8723540731237973,0.9416445623342176,0.8438661710037175,0.626641651031895,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.72
21,0.8717126363053239,0.9425287356321839,0.8438661710037175,0.6322701688555347,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.72
22,0.8723540731237973,0.9416445623342176,0.8438661710037175,0.6360225140712945,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.72
23,0.8723540731237973,0.9425287356321839,0.8401486988847584,0.6322701688555347,0.8736559139784946,0.7586206896551724,0.9081632653061225,0.68
24,0.8710711994868505,0.9425287356321839,0.8420074349442379,0.6341463414634146,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.76
25,0.8723540731237973,0.9416445623342176,0.8420074349442379,0.6303939962476548,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.72
26,0.8723540731237973,0.9425287356321839,0.845724907063197,0.626641651031895,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.72
27,0.8749198203976908,0.9416445623342176,0.8420074349442379,0.6303939962476548,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.72
28,0.8729955099422707,0.9416445623342176,0.8438661710037175,0.6303939962476548,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.76
29,0.8742783835792175,0.9425287356321839,0.8438661710037175,0.6360225140712945,0.8763440860215054,0.7586206896551724,0.9081632653061225,0.76
30,0.8736369467607441,0.9407603890362511,0.8438661710037175,0.6341463414634146,0.8790322580645161,0.7586206896551724,0.9081632653061225,0.76
31,0.8845413726747915,0.9504862953138815,0.8847583643122676,0.6904315196998124,0.8709677419354839,0.41379310344827586,0.7040816326530612,0.44
