epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.45261630415916443,0.6613768935203552,1.8432416915893555,0.9354962110519409
2,0.4584452509880066,0.6616102457046509,1.7643824815750122,0.9412192106246948
3,0.4635758101940155,0.6599766612052917,1.6817467212677002,0.950606107711792
4,0.4686794877052307,0.6550758481025696,1.5992156267166138,0.9683190584182739
5,0.4791285991668701,0.6525087356567383,1.5236124992370605,0.9914396405220032
6,0.48713335394859314,0.6441073417663574,1.4726885557174683,1.0210524797439575
7,0.48823466897010803,0.6401399970054626,1.4304172992706299,1.0432947874069214
8,0.4948694407939911,0.6368728280067444,1.412096619606018,1.0612685680389404
9,0.4979585111141205,0.6312718987464905,1.3963311910629272,1.072916865348816
10,0.5019608736038208,0.6312718987464905,1.3911067247390747,1.0731182098388672
11,0.4994359016418457,0.6322053670883179,1.3905986547470093,1.072260856628418
12,0.5046470165252686,0.6315052509307861,1.3782685995101929,1.0774298906326294
13,0.5032771229743958,0.6357059478759766,1.370374321937561,1.0711580514907837
14,0.507709264755249,0.6382730603218079,1.3702155351638794,1.0698986053466797
15,0.5069302916526794,0.636639416217804,1.3650319576263428,1.0695518255233765
16,0.5094283819198608,0.639906644821167,1.3543282747268677,1.0665090084075928
17,0.5124905705451965,0.6406067609786987,1.3488374948501587,1.0635353326797485
18,0.5105834603309631,0.6415402293205261,1.3472628593444824,1.0646778345108032
19,0.5135650634765625,0.6422403454780579,1.3531817197799683,1.061465859413147
20,0.5125443339347839,0.6422403454780579,1.349256992340088,1.0629405975341797
21,0.5117384791374207,0.6406067609786987,1.3513063192367554,1.0635443925857544
22,0.5145320892333984,0.6415402293205261,1.3412131071090698,1.0640525817871094
23,0.5152573585510254,0.6422403454780579,1.34086012840271,1.0601595640182495
24,0.5168153047561646,0.6434072256088257,1.3377307653427124,1.0583040714263916
25,0.5144246220588684,0.6443406939506531,1.3411879539489746,1.0558384656906128
26,0.5180509090423584,0.6441073417663574,1.3338826894760132,1.0565800666809082
27,0.5189910531044006,0.6455075740814209,1.3361327648162842,1.0566195249557495
28,0.5192596912384033,0.6452742218971252,1.32991623878479,1.0556350946426392
29,0.5208445191383362,0.6462076902389526,1.3297200202941895,1.0546555519104004
30,0.5205490589141846,0.6457409858703613,1.325863003730774,1.0548795461654663
31,0.5208982229232788,0.6450408697128296,1.3281569480895996,1.0566365718841553
